Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Bock_1,Bock_2,Bock_3,Abk_1,Abk_2,Abk_3
P09493-10;P09493-3;P09493-4,A0A0S2Z4G6;A0A494BZZ2;A0A494C0V8;B7Z596;F5H7S3;H0YK48;H0YKJ4;H0YKX5;H0YL42;H0YL80;H0YNC7;H7BYY1;P09493-10;P09493-2;P09493-3;P09493-4;P09493-5;P09493-6;P09493-7;P09493-8;P09493-9;Q6ZN40;P09493,TPM1-10_HUMAN;TPM1-3_HUMAN;TPM1-4_HUMAN,TPM1,"Isoform of P09493, Isoform 10 of Tropomyosin alpha-1 chain",5,173682,156697,78272.5,159251,210116,363700
O60739;P41567,K7EM18;O60739;P41567,EIF1B_HUMAN;EIF1_HUMAN,EIF1;EIF1B,Eukaryotic translation initiation factor 1b,3,176716,216343,342407,176070,,224332
P11387,P11387,TOP1_HUMAN,TOP1,DNA topoisomerase 1,5,140237,132718,144066,265391,216835,235983
P62847;P62847-2;P62847-3;P62847-4,A0A087WUS0;A0A2R8Y849;A0A2R8Y8A0;A0A2R8YD14;E7ETK0;P62847-2;P62847-3;P62847-4;P62847,RS24-2_HUMAN;RS24-3_HUMAN;RS24-4_HUMAN;RS24_HUMAN,RPS24,40S ribosomal protein S24,4,666833,148739,,244574,,74937.8
Q9NVD7,E9PS97;J3KNQ4;Q9NVD7-2;Q9NVD7,PARVA_HUMAN,PARVA,Alpha-parvin,4,165310,237645,108194,223703,128612,270280
P78345,P78345,RPP38_HUMAN,RPP38,Ribonuclease P protein subunit p38,2,204512,105193,140998,190893,65656.6,423193
P04083,Q5T3N1;P04083,ANXA1_HUMAN,ANXA1,Annexin A1,6,116699,164798,190848,257658,181390,214900
P59998;P59998-3,F8WCF6;H7C0A3;P59998-3;P59998-4;R4GN08;P59998,ARPC4-3_HUMAN;ARPC4_HUMAN,ARPC4,Actin-related protein 2/3 complex subunit 4,2,209971,,,324183,216434,371791
P07203,A0A087WUQ6;A0A2R8Y6B6;P07203,GPX1_HUMAN,GPX1,Glutathione peroxidase 1,7,200987,169389,87224.1,208658,252587,201797
Q9Y337,M0QXX2;Q9Y337,KLK5_HUMAN,KLK5,Kallikrein-5,4,543755,181454,259742,,,129680
P49759;P49759-3,A0A087WX74;B7ZL31;F8WBF5;P49759-3;P49759;Q9HAZ1,CLK1-3_HUMAN;CLK1_HUMAN,CLK1,Dual specificity protein kinase CLK1,4,307998,370301,69243.6,164436,,202180
B4DPS1,B4DPS1,B4DPS1_HUMAN,STK16,"Isoform of O75716, Serine/threonine-protein kinase 16",1,158499,140937,147527,343678,135704,186703
Q92572,Q92572,AP3S1_HUMAN,AP3S1,AP-3 complex subunit sigma-1,2,196212,99701.2,112427,168370,249161,286963
Q9HD42,F8VUA2;F8VVT7;Q9HD42,CHM1A_HUMAN,CHMP1A,Charged multivesicular body protein 1a,2,146824,,107176,248404,210821,397588
P53597,A0A494C0D1;P53597,SUCA_HUMAN,SUCLG1,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",3,167625,184366,73860.5,210930,222212,251773
P23352,P23352,KALM_HUMAN,ANOS1,Anosmin-1,1,75686.1,185543,,173602,378469,296766
Q14690,A0A3B3IUD7;Q14690,RRP5_HUMAN,PDCD11,Protein RRP5 homolog,11,138180,152536,77603.1,255687,199188,286259
P35249,C9J8M3;C9JTT7;C9JXZ7;C9JZI1;P35249-2;P35249,RFC4_HUMAN,RFC4,Replication factor C subunit 4,6,159305,88247.2,,242870,325289,293060
P62879,C9JIS1;C9JXA5;E7EP32;P62879-2;P62879,GBB2_HUMAN,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,3,249080,259717,150449,152253,186600,103824
Q9NUD5,Q9NUD5,ZCHC3_HUMAN,ZCCHC3,Zinc finger CCHC domain-containing protein 3,7,260711,135064,128159,256689,203168,113057
O15144,O15144,ARPC2_HUMAN,ARPC2,Actin-related protein 2/3 complex subunit 2,4,376214,134490,,264738,,315509
P07737,I3L3D5;P07737,PROF1_HUMAN,PFN1,Profilin-1,4,194013,102176,261118,178344,172389,181928
P10619;P10619-2,P10619-2;X6R5C5;X6R8A1;P10619,PPGB-2_HUMAN;PPGB_HUMAN,CTSA,Lysosomal protective protein,4,279241,242783,279052,,68864.1,219495
Q9UKF6,C9JZH6;G5E9W3;Q9UKF6,CPSF3_HUMAN,CPSF3,Cleavage and polyadenylation specificity factor subunit 3,8,245528,240405,291391,186633,,123550
Q13200;Q13200-2;Q13200-3,Q13200-2;Q13200-3;Q13200,PSMD2-2_HUMAN;PSMD2-3_HUMAN;PSMD2_HUMAN,PSMD2,26S proteasome non-ATPase regulatory subunit 2,10,182667,205097,158931,179524,109469,250913
Q8NBS9;Q8NBS9-2,Q8NBS9-2;Q8NBS9,TXND5-2_HUMAN;TXND5_HUMAN,TXNDC5,Thioredoxin domain-containing protein 5,5,198964,143160,63558.1,219329,228054,233490
P82664,P82664,RT10_HUMAN,MRPS10,"28S ribosomal protein S10, mitochondrial",2,213207,193408,,231736,252499,194119
Q8TDD1;Q8TDD1-2,Q8TDD1-2;Q8TDD1,DDX54-2_HUMAN;DDX54_HUMAN,DDX54,ATP-dependent RNA helicase DDX54,6,216128,239859,,287400,103777,237714
Q9NQC3;Q9NQC3-2;Q9NQC3-3;Q9NQC3-4;Q9NQC3-5;Q9NQC3-6,A0A0U1RQR6;F8W914;H7C106;Q9NQC3-2;Q9NQC3-3;Q9NQC3-4;Q9NQC3-5;Q9NQC3-6;Q9NQC3,RTN4-2_HUMAN;RTN4-3_HUMAN;RTN4-4_HUMAN;RTN4-5_HUMAN;RTN4-6_HUMAN;RTN4_HUMAN,RTN4,Reticulon-4,1,349758,378041,,,,355515
A8K2U0,A8K2U0,A2ML1_HUMAN,A2ML1,Alpha-2-macroglobulin-like protein 1,12,382074,295493,162750,,,241131
P82650,G5E9V5;G5E9W7;H7C5F2;H7C5H3;P82650-2;P82650,RT22_HUMAN,MRPS22,"28S ribosomal protein S22, mitochondrial",6,234342,260222,91700.6,194518,129530,169125
P82912;P82912-2,P82912-2;P82912-3;P82912,RT11-2_HUMAN;RT11_HUMAN,MRPS11,"28S ribosomal protein S11, mitochondrial",2,293053,298318,79176,204537,,204001
Q92900;Q92900-2,Q92900-2;Q92900,RENT1-2_HUMAN;RENT1_HUMAN,UPF1,Regulator of nonsense transcripts 1,2,144170,690147,,138821,,98258.6
Q9H444,Q9H444,CHM4B_HUMAN,CHMP4B,Charged multivesicular body protein 4b,2,335838,184101,,246337,,303938
P51398;P51398-2;P51398-3,P51398-2;P51398-3;V9GY11;V9GYA7;V9GYC9;V9GYJ9;V9GYL9;V9GYW1;V9GZ03;P51398,RT29-2_HUMAN;RT29-3_HUMAN;RT29_HUMAN,DAP3,"28S ribosomal protein S29, mitochondrial",4,152927,194247,134525,198217,162978,225007
P15531;P15531-2,E7ERL0;J3KPD9;P15531-2;P22392-2;Q32Q12;O60361;P15531;P22392,NDKA-2_HUMAN;NDKA_HUMAN,NME1,Nucleoside diphosphate kinase A,5,253421,353870,,164006,,294703
O15020,A4QPE4;O15020,SPTN2_HUMAN,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",6,253976,129517,132720,97052.1,227787,223078
Q9NVP1,Q9NVP1,DDX18_HUMAN,DDX18,ATP-dependent RNA helicase DDX18,12,174097,167275,81629.2,239143,179564,220968
P07384,E9PIA9;E9PJA6;E9PJJ3;E9PLC9;E9PLX0;E9PMC6;E9PQB3;E9PRM1;E9PSA6;P07384,CAN1_HUMAN,CAPN1,Calpain-1 catalytic subunit,8,400296,374728,,,,282111
P08123,A0A087WTA8;P08123,CO1A2_HUMAN,COL1A2,Collagen alpha-2(I) chain,2,69915,,508495,,,476661
Q9H9J2,Q9H9J2,RM44_HUMAN,MRPL44,"39S ribosomal protein L44, mitochondrial",4,180615,120929,,263322,257702,223260
Q00610;Q00610-2,A0A087WVQ6;A0A087WX41;P53675-2;Q00610-2;P53675;Q00610,CLH1-2_HUMAN;CLH1_HUMAN,CLTC,Clathrin heavy chain 1,5,194895,199335,169104,117477,114487,248767
Q9Y314,A0A075B6F9;M0R1K2;M0R3B2;Q9Y314,NOSIP_HUMAN,NOSIP,Nitric oxide synthase-interacting protein,6,204641,134624,126122,168284,221778,187688
P02649,E7ERP7;E9PEV4;H0Y7L5;P02649,APOE_HUMAN,APOE,Apolipoprotein E,5,170448,172930,204940,190943,113096,189997
Q9NPJ8;Q9NPJ8-2;Q9NPJ8-3;Q9UKK6,Q9NPJ8-2;Q9NPJ8-3;Q9NPJ8;Q9UKK6,NXT1_HUMAN;NXT2-2_HUMAN;NXT2-3_HUMAN;NXT2_HUMAN,NXT1;NXT2,NTF2-related export protein 2,2,206594,127001,,235729,148109,322850
Q8N567,Q8N567,ZCHC9_HUMAN,ZCCHC9,Zinc finger CCHC domain-containing protein 9,4,83866.8,73077,,287476,365957,229049
P62820,E7END7;E9PLD0;P62820-2;P62820;Q9H0U4,RAB1A_HUMAN,RAB1A,Ras-related protein Rab-1A,4,175560,159213,,265313,213723,218309
P48556,K7EJC1;K7EJR3;K7ERW6;R4GMR5;P48556,PSMD8_HUMAN,PSMD8,26S proteasome non-ATPase regulatory subunit 8,3,179989,127724,116168,219511,227900,160147
Q9NUU7;Q9UMR2;Q9UMR2-2;Q9UMR2-4,F6QDS0;H3BQK0;I3L0H8;I3L352;Q9NUU7-2;Q9UMR2-2;Q9UMR2-3;Q9UMR2-4;Q9NUU7;Q9UMR2,DD19A_HUMAN;DD19B-2_HUMAN;DD19B-4_HUMAN;DD19B_HUMAN,DDX19A;DDX19B,ATP-dependent RNA helicase DDX19A,5,171544,267855,99111.9,183358,,309133
P14625,P14625,ENPL_HUMAN,HSP90B1,Endoplasmin,2,123797,168001,269195,144280,150767,174419
Q9UBU9,E9PIN3;Q9UBU9,NXF1_HUMAN,NXF1,Nuclear RNA export factor 1,6,339001,354569,,335414,,
P24863;P24863-2,E5RFK5;E5RFX8;G5E954;H0YBQ5;P24863-2;P24863,CCNC-2_HUMAN;CCNC_HUMAN,CCNC,Cyclin-C,1,576260,276016,,,,175700
Q96BP3,D6RA12;D6RB19;D6RDA4;D6RHV0;Q96BP3,PPWD1_HUMAN,PPWD1,Peptidylprolyl isomerase domain and WD repeat-containing protein 1,7,227201,234083,124768,168884,155552,110955
P49750;P49750-1;P49750-3,F8VU51;P49750-1;P49750-3;P49750,YLPM1-1_HUMAN;YLPM1-3_HUMAN;YLPM1_HUMAN,YLPM1,YLP motif-containing protein 1,2,215883,,,,507586,290683
Q68D10;Q68D10-2,Q68D10-2;Q68D10,SPT2-2_HUMAN;SPT2_HUMAN,SPTY2D1,Protein SPT2 homolog,2,140671,149130,,173737,150415,393958
Q8NEY8;Q8NEY8-2;Q8NEY8-3;Q8NEY8-6;Q8NEY8-8;Q8NEY8-9,B7Z8L1;F8W0Q9;F8W6A0;F8WF16;Q8NEY8-2;Q8NEY8-3;Q8NEY8-5;Q8NEY8-6;Q8NEY8-7;Q8NEY8-8;Q8NEY8-9;Q8NEY8,PPHLN-2_HUMAN;PPHLN-3_HUMAN;PPHLN-6_HUMAN;PPHLN-8_HUMAN;PPHLN-9_HUMAN;PPHLN_HUMAN,PPHLN1,Periphilin-1,6,229434,188919,96508.7,150225,166450,174720
P55000,P55000,SLUR1_HUMAN,SLURP1,Secreted Ly-6/uPAR-related protein 1,2,251235,188302,172292,,137361,256769
P07858,E9PCB3;E9PHZ5;E9PJ67;E9PKQ7;E9PLY3;E9PNL5;E9PQM1;E9PR54;E9PS78;E9PSG5;P07858,CATB_HUMAN,CTSB,Cathepsin B,4,217607,225298,156801,118078,105952,181811
Q9H8H0,J3QR28;Q9H8H0,NOL11_HUMAN,NOL11,Nucleolar protein 11,9,109502,155843,,184804,280092,274592
Q96DG6,Q96DG6,CMBL_HUMAN,CMBL,Carboxymethylenebutenolidase homolog,3,162785,188778,,225813,211762,215382
Q86X55;Q86X55-1,K7EQA8;Q86X55-1;Q86X55-2;Q86X55,CARM1-1_HUMAN;CARM1_HUMAN,CARM1,Histone-arginine methyltransferase CARM1,5,228594,197889,148196,225131,,201052
Q96SZ4,I3L1J3;Q96SZ4,ZSC10_HUMAN,ZSCAN10,Zinc finger and SCAN domain-containing protein 10,1,233745,240820,234439,289085,,
P09543;P09543-2,C9K0L8;K7EN66;K7ERC4;K7ERZ0;P09543-2;P09543,CN37-2_HUMAN;CN37_HUMAN,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",3,181763,206399,115414,209861,121480,162144
P30876,A0A1W2PPT5;C9J2Y9;C9J4M6;P30876,RPB2_HUMAN,POLR2B,DNA-directed RNA polymerase II subunit RPB2,11,217625,210868,222374,158920,39818.6,147302
P47985,P0C7P4;P47985,UCRI_HUMAN,UQCRFS1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",5,201932,162093,,225639,260415,142431
Q96G21,B9A008;E7ENR5;H0Y714;Q96G21,IMP4_HUMAN,IMP4,U3 small nucleolar ribonucleoprotein protein IMP4,2,186819,238827,,264194,,302102
Q5VVQ6;Q5VVQ6-2,Q5VVQ6-2;Q5VVQ6,OTU1-2_HUMAN;OTU1_HUMAN,YOD1,Ubiquitin thioesterase OTU1,2,329076,392405,,,,268817
O00622,O00622,CCN1_HUMAN,CCN1,CCN family member 1,6,198863,134560,145393,241313,159633,110395
Q9P0J6,Q9P0J6,RM36_HUMAN,MRPL36,"39S ribosomal protein L36, mitochondrial",1,163057,160202,184465,193023,177074,106485
Q13510;Q13510-2,A0A1B0GTM3;A0A1B0GTP7;A0A1B0GTZ5;A0A1B0GUA4;A0A1B0GUE3;A0A1B0GUG1;A0A1B0GUH5;A0A1B0GUW4;A0A1B0GV06;A0A1B0GW68;E7EMM4;Q13510-2;Q13510-3;Q13510,ASAH1-2_HUMAN;ASAH1_HUMAN,ASAH1,Acid ceramidase,4,337884,280423,193869,35499,,131104
Q86WW8,B9A057;Q86WW8,COA5_HUMAN,COA5,Cytochrome c oxidase assembly factor 5,3,168445,184147,141735,95185.9,,383750
Q9NQ55;Q9NQ55-2;Q9NQ55-3,A0A0A6YYI3;A8MV53;C9J3W3;Q9NQ55-2;Q9NQ55-3;A0A0B4J1V8;Q9NQ55,SSF1-2_HUMAN;SSF1-3_HUMAN;SSF1_HUMAN,PPAN,Suppressor of SWI4 1 homolog,4,140864,149788,122816,224633,121335,211180
Q8TCC3;Q8TCC3-2;Q8TCC3-3,B8ZZV5;Q8TCC3-2;Q8TCC3-3;Q8TCC3,RM30-2_HUMAN;RM30-3_HUMAN;RM30_HUMAN,MRPL30,"39S ribosomal protein L30, mitochondrial",2,150317,,,285150,275757,258845
Q96IZ7;Q96IZ7-2,Q96IZ7-2;Q96IZ7,RSRC1-2_HUMAN;RSRC1_HUMAN,RSRC1,Serine/Arginine-related protein 53,5,267639,233724,158751,198444,110325,
P27695,G3V3M6;G3V5Q1;P27695,APEX1_HUMAN,APEX1,DNA-(apurinic or apyrimidinic site) lyase,1,308610,,,354563,304557,
Q9UI30;Q9UI30-2,F5GX77;Q9UI30-2;Q9UI30,TR112-2_HUMAN;TR112_HUMAN,TRMT112,Multifunctional methyltransferase subunit TRM112-like protein,2,185268,122276,157831,178026,,323437
P49406,A0A0A0MRF4;S4R3W9;P49406,RM19_HUMAN,MRPL19,"39S ribosomal protein L19, mitochondrial",6,126782,131030,62868.5,217272,289783,137708
P05455,P05455,LA_HUMAN,SSB,Lupus La protein,5,131495,76127.4,95318.4,219579,292389,147682
O75874,O75874,IDHC_HUMAN,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,7,225040,240623,224804,101252,,168726
P49748;P49748-2;P49748-3,P49748-2;P49748-3;P49748,ACADV-2_HUMAN;ACADV-3_HUMAN;ACADV_HUMAN,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",8,226034,213082,153811,151708,92946.4,122800
Q969L2,Q969L2,MAL2_HUMAN,MAL2,Protein MAL2,1,147056,279276,225794,33784.7,91436,182490
Q53HL2,Q53HL2,BOREA_HUMAN,CDCA8,Borealin,3,84944.3,386087,,192189,144285,149958
P30086,P30086,PEBP1_HUMAN,PEBP1,Phosphatidylethanolamine-binding protein 1,5,324187,142647,188954,55536.8,113546,131579
P02792,P02792,FRIL_HUMAN,FTL,Ferritin light chain,3,179593,188598,,175565,203054,201162
Q9Y237;Q9Y237-2,Q9Y237-2;Q9Y237,PIN4-2_HUMAN;PIN4_HUMAN,PIN4,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,3,128703,,,345773,155407,317692
P31153,P31153,METK2_HUMAN,MAT2A,S-adenosylmethionine synthase isoform type-2,6,140474,124227,114160,209970,193727,160185
Q99816;Q99816-2,J3QKS4;J3QRU6;Q99816-2;Q99816,TS101-2_HUMAN;TS101_HUMAN,TSG101,Tumor susceptibility gene 101 protein,1,121426,217520,222457,,222671,158153
Q02487-2,A0A3B3ISU0;Q02487-2;Q02487,DSC2-2_HUMAN,DSC2,"Isoform of Q02487, Isoform 2B of Desmocollin-2",1,128126,212598,125900,130509,119093,224573
Q9H583,Q5T3Q7;Q9H583,HEAT1_HUMAN,HEATR1,HEAT repeat-containing protein 1,5,141369,138038,119988,183933,85712.5,267319
Q05193;Q05193-2;Q05193-3;Q05193-5;Q9UQ16;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4,A0A0D9SFB1;A0A0D9SFE4;A0A0U1RQP1;A0A1B0GUX5;E5RHK8;P50570-2;P50570-3;P50570-4;P50570-5;Q05193-2;Q05193-3;Q05193-5;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4;Q9UQ16-5;P50570;Q05193;Q9UQ16,DYN1-2_HUMAN;DYN1-3_HUMAN;DYN1-5_HUMAN;DYN1_HUMAN;DYN3-2_HUMAN;DYN3-3_HUMAN;DYN3-4_HUMAN;DYN3_HUMAN,DNM1;DNM3,Dynamin-1,2,216868,180987,,261740,,276168
P61160,F5H6T1;P61160-2;P61160,ARP2_HUMAN,ACTR2,Actin-related protein 2,2,184298,235643,,181140,146244,188213
P06703,R4GN98;P06703,S10A6_HUMAN,S100A6,Protein S100-A6,2,,90513.6,840723,,,
P21796,P21796,VDAC1_HUMAN,VDAC1,Voltage-dependent anion-selective channel protein 1,5,225003,197674,140746,117649,86060,163945
Q96S79,Q96S79,RSLAB_HUMAN,RASL10B,Ras-like protein family member 10B,2,137213,189517,81676.3,116550,128914,274767
Q5TEC6,P68431;Q16695;Q5TEC6;Q71DI3,Q5TEC6_HUMAN,HIST2H3PS2,Histone H3,2,365345,355874,,52544.1,,153894
O95758;O95758-1;O95758-2;O95758-4;O95758-5;O95758-6,O95758-1;O95758-2;O95758-4;O95758-5;O95758-6;O95758-7;X6R242;O95758,PTBP3-1_HUMAN;PTBP3-2_HUMAN;PTBP3-4_HUMAN;PTBP3-5_HUMAN;PTBP3-6_HUMAN;PTBP3_HUMAN,PTBP3,Polypyrimidine tract-binding protein 3,1,222391,142176,281206,166253,115482,
Q12849;Q12849-5,F5H5I6;H0Y8R1;H0YAK1;H0YAM1;Q12849-5;Q12849,GRSF1-5_HUMAN;GRSF1_HUMAN,GRSF1,G-rich sequence factor 1,2,125454,,81151.1,199208,285793,235246
Q5M9Q1;Q8N5F7,A0A494C050;Q5M9Q1;Q8N5F7,NKAPL_HUMAN;NKAP_HUMAN,NKAP;NKAPL,NKAP-like protein,1,194917,228114,207664,182801,,112822
P99999,C9JFR7;P99999,CYC_HUMAN,CYCS,Cytochrome c,4,156000,94207.8,140492,165110,137169,228428
Q15361,Q15361,TTF1_HUMAN,TTF1,Transcription termination factor 1,1,171020,144690,203756,146364,109828,143503
Q9HCD5,Q5JY17;Q9HCD5,NCOA5_HUMAN,NCOA5,Nuclear receptor coactivator 5,6,235160,215803,195453,146804,,125314
Q9NUL7,Q9NUL7,DDX28_HUMAN,DDX28,Probable ATP-dependent RNA helicase DDX28,5,274084,,246990,178565,,217603
P0C7H8;Q9BYR9;Q9BYT5;Q9BYU5,F5H1T9;F5H6S0;P0C7H8;Q9BYR9;Q9BYT5;Q9BYU5,KRA21_HUMAN;KRA22_HUMAN;KRA23_HUMAN;KRA24_HUMAN,KRTAP2-1;KRTAP2-2;KRTAP2-3;KRTAP2-4,Keratin-associated protein 2-3,1,,326837,,,,587456
P30041,P30041,PRDX6_HUMAN,PRDX6,Peroxiredoxin-6,4,127472,178203,,163697,255029,189362
Q96BK5,Q96BK5,PINX1_HUMAN,PINX1,PIN2/TERF1-interacting telomerase inhibitor 1,1,137781,142136,104593,228376,172967,127005
P40939,A0A2R8Y4F5;A0A2R8Y688;A0A2R8YG21;H0YFD6;P40939,ECHA_HUMAN,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",6,123901,121709,125513,172006,238256,124919
Q9H2P0,A0A2R8Y6X0;Q9H2P0,ADNP_HUMAN,ADNP,Activity-dependent neuroprotector homeobox protein,4,178707,,,181087,296583,246915
P18206;P18206-2,P18206-2;P18206,VINC-2_HUMAN;VINC_HUMAN,VCL,Vinculin,13,318944,218006,126942,42488.8,75376.5,117338
Q12907,D6RBV2;D6RDX1;D6RIU4;Q12907,LMAN2_HUMAN,LMAN2,Vesicular integral-membrane protein VIP36,6,268166,194062,157210,148137,,127270
Q9NVS2;Q9NVS2-2,Q5QPA5;Q9NVS2-2;Q9NVS2-3;Q9NVS2,RT18A-2_HUMAN;RT18A_HUMAN,MRPS18A,"39S ribosomal protein S18a, mitochondrial",2,173416,131223,165191,193458,113687,117461
Q8NI36,A0A0A0MTB8;Q8NI36,WDR36_HUMAN,WDR36,WD repeat-containing protein 36,6,122795,135277,190514,143899,129039,172802
Q9BYN8,Q9BYN8,RT26_HUMAN,MRPS26,"28S ribosomal protein S26, mitochondrial",5,141842,174591,,197633,145163,233262
P03973,P03973,SLPI_HUMAN,SLPI,Antileukoproteinase,2,262700,276253,,,,350205
O14732;O14732-2,K7EL65;K7ELF8;O14732-2;O14732,IMPA2-2_HUMAN;IMPA2_HUMAN,IMPA2,Inositol monophosphatase 2,2,314958,244860,122181,38983.8,,166199
Q13868;Q13868-3,A3KFL1;A3KFL2;A3KFL5;Q13868-2;Q13868-3;Q13868,EXOS2-3_HUMAN;EXOS2_HUMAN,EXOSC2,Exosome complex component RRP4,3,103483,106198,,187362,297608,192299
Q5RKV6,Q5RKV6,EXOS6_HUMAN,EXOSC6,Exosome complex component MTR3,2,93549.6,94853.9,91749.9,219189,202985,183231
P02795;P13640;P13640-2;P80297,P13640-2;P02795;P04732;P13640;P80297;Q8N339,MT1G-2_HUMAN;MT1G_HUMAN;MT1X_HUMAN;MT2_HUMAN,MT1G;MT1X;MT2A,Metallothionein-2,2,135024,196591,178570,134435,76202.6,164366
P22307;P22307-2;P22307-4;P22307-6;P22307-7;P22307-8,P22307-2;P22307-4;P22307-6;P22307-7;P22307-8;P22307,NLTP-2_HUMAN;NLTP-4_HUMAN;NLTP-6_HUMAN;NLTP-7_HUMAN;NLTP-8_HUMAN;NLTP_HUMAN,SCP2,Non-specific lipid-transfer protein,5,188605,155400,,199407,131163,210395
Q8N1G4,Q8N1G4,LRC47_HUMAN,LRRC47,Leucine-rich repeat-containing protein 47,4,226045,93802.5,,124731,136688,303478
P51665,P51665,PSMD7_HUMAN,PSMD7,26S proteasome non-ATPase regulatory subunit 7,1,156297,,144012,221991,169302,193121
Q9NZ01,M0R2N5;Q9NZ01,TECR_HUMAN,TECR,Very-long-chain enoyl-CoA reductase,1,230857,172790,188558,76371,84635.9,128595
Q96AG4,Q96AG4,LRC59_HUMAN,LRRC59,Leucine-rich repeat-containing protein 59,4,226900,199628,,231700,,222702
P00492,P00492,HPRT_HUMAN,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,3,180939,218754,,224523,,255188
P40616;P40616-2,F8VP63;F8VP99;F8VYN9;P40616-2;P40616,ARL1-2_HUMAN;ARL1_HUMAN,ARL1,ADP-ribosylation factor-like protein 1,2,98089.4,138217,120828,205866,97105.3,216904
P46821,P46821,MAP1B_HUMAN,MAP1B,Microtubule-associated protein 1B,2,122125,106817,,209762,308273,129824
P33240;P33240-2,A0A0A0MT56;E7EWR4;E9PID8;P33240-2;P33240,CSTF2-2_HUMAN;CSTF2_HUMAN,CSTF2,Cleavage stimulation factor subunit 2,4,189930,133889,136352,138309,83413.6,192508
P61019,A0A3B3ITL1;E9PE37;E9PKL7;H0YD31;P61019;Q8WUD1,RAB2A_HUMAN,RAB2A,Ras-related protein Rab-2A,5,229418,224922,,236523,,182992
Q7Z2W9;Q7Z2W9-2,Q7Z2W9-2;Q7Z2W9,RM21-2_HUMAN;RM21_HUMAN,MRPL21,"39S ribosomal protein L21, mitochondrial",1,181220,224826,,264451,,201037
Q15417;Q15417-3,A0A087X271;B4DDF4;B4DUT8;H3BVI6;K7ES69;Q15417-3;Q99439-2;Q15417;Q99439,CNN3-3_HUMAN;CNN3_HUMAN,CNN3,Calponin-3,4,145195,115041,127876,148416,167871,162517
Q99735;Q99735-2,Q99735-2;Q99735,MGST2-2_HUMAN;MGST2_HUMAN,MGST2,Microsomal glutathione S-transferase 2,1,356247,304473,,,,205028
P07686,H0Y9B6;H0YA83;Q5URX0;P07686,HEXB_HUMAN,HEXB,Beta-hexosaminidase subunit beta,7,272490,337033,,118820,,135471
Q9UBM7,Q9UBM7,DHCR7_HUMAN,DHCR7,7-dehydrocholesterol reductase,5,263956,178248,192245,94116.2,,131216
Q01085;Q01085-2,A6NKZ9;C9JTN7;E5RG67;E5RGV5;E7ETC0;E7ETJ9;F8W8I6;H7BY49;P31483-2;P31483-3;Q01085-2;P31483;Q01085,TIAR-2_HUMAN;TIAR_HUMAN,TIAL1,Nucleolysin TIAR,5,168644,100335,151273,131029,196019,111086
P36954,K7EKS1;P36954,RPB9_HUMAN,POLR2I,DNA-directed RNA polymerase II subunit RPB9,1,275143,153319,,228034,,199608
Q14194;Q14194-2,E9PD68;Q14194-2;Q14194,DPYL1-2_HUMAN;DPYL1_HUMAN,CRMP1,Dihydropyrimidinase-related protein 1,1,632680,36907.1,,123030,16240.5,44750.9
P48643,B7ZAR1;E9PCA1;P48643,TCPE_HUMAN,CCT5,T-complex protein 1 subunit epsilon,3,124005,108255,188327,157644,137862,137478
Q9P0M9,D6RAN8;H7C5U8;Q9P0M9,RM27_HUMAN,MRPL27,"39S ribosomal protein L27, mitochondrial",2,184499,139951,,312423,,210232
P06396-2,A0A0A0MS51;A0A0A0MT01;P06396-2;P06396-3;P06396-4;P06396,GELS-2_HUMAN,GSN,"Isoform of P06396, Isoform 2 of Gelsolin",9,270034,131818,114269,97475.9,88819.3,144651
P12956,B1AHC9;P12956-2;P12956,XRCC6_HUMAN,XRCC6,X-ray repair cross-complementing protein 6,7,88178.6,121371,272481,125935,129800,105876
Q8N983;Q8N983-2;Q8N983-3;Q8N983-4;Q8N983-6;Q8N983-7,B1AL05;H0Y6Y8;M0R051;Q8N983-2;Q8N983-3;Q8N983-4;Q8N983-6;Q8N983-7;Q8N983,RM43-2_HUMAN;RM43-3_HUMAN;RM43-4_HUMAN;RM43-6_HUMAN;RM43-7_HUMAN;RM43_HUMAN,MRPL43,"39S ribosomal protein L43, mitochondrial",5,143034,111269,151427,175787,91881.4,170043
P35754,P35754,GLRX1_HUMAN,GLRX,Glutaredoxin-1,3,214624,113532,155952,,180361,178682
P62330,P62330,ARF6_HUMAN,ARF6,ADP-ribosylation factor 6,2,152218,108849,164709,194530,173642,49095.4
