Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Prime1_1,Prime1_2,Prime1_3,Prime2_1,Prime2_2,Prime2_3,Naive1_1,Naive1_2,Naive1_3,Naive2_1,Naive2_2,Naive2_3
Q8IXM2;Q8IXM2-3,F8W038;F8W1H0;Q8IXM2-3;H0YIS7;Q8IXM2,BAP18-3_HUMAN;BAP18_HUMAN,BAP18,Chromatin complexes subunit BAP18,4,2646080,2393530,2684360,3092660,2816970,2912530,2137400,2173510,2054240,2325740,2213250,2089650
Q8IXM3,Q8IXM3,RM41_HUMAN,MRPL41,"39S ribosomal protein L41, mitochondrial",5,1843060,1909670,1917720,1723650,1723930,1688990,1304990,1761360,1769560,1754430,1668900,1638270
Q8IXM6,H0Y6T6;Q8IXM6,NRM_HUMAN,NRM,Nurim,4,1899220,2001980,2368560,1903150,1800150,1971380,2069970,2076860,2353770,2183330,2440040,2171650
Q8IXQ4,A0A0A0MRI1;Q8IXQ4-2;Q8IXQ4-3;Q8IXQ4,GPAM1_HUMAN,GPALPP1,GPALPP motifs-containing protein 1,6,835799,895812,869687,1079300,1138950,1094850,697249,620418,661372,643215,657895,637442
Q8IXQ5,Q8IXQ5-2;Q8IXQ5-5;Q8IXQ5,KLHL7_HUMAN,KLHL7,Kelch-like protein 7,15,1422970,1391160,1344600,1364050,1449250,1294720,996534,1230040,1339360,1048420,1135180,1105020
Q8IXS6;Q8IXS6-2,C9JA33;Q8IXS6-2;B1ALY0;Q8IXS6,PALM2-2_HUMAN;PALM2_HUMAN,PALM2,Paralemmin-2,3,125714,189632,213684,,118184,188362,307428,279690,322222,255324,252556,246177
Q8IXT5,B9ZVT1;Q8IXT5,RB12B_HUMAN,RBM12B,RNA-binding protein 12B,31,2403010,2487060,2444130,3553000,3639700,3581720,3941870,3827040,3780270,4051110,4039560,3985650
Q8IXU6;Q8IXU6-2,E9PJD1;Q8IXU6-2;Q8IXU6,S35F2-2_HUMAN;S35F2_HUMAN,SLC35F2,Solute carrier family 35 member F2,1,,,,136884,162577,,,235974,250371,200814,215308,213283
Q8IXZ2,Q8IXZ2-2;Q8IXZ2,ZC3H3_HUMAN,ZC3H3,Zinc finger CCCH domain-containing protein 3,2,693642,657986,558305,704918,499552,542525,396909,585159,567581,539119,526019,585849
Q8IY17;Q8IY17-3,A0A384DVU0;M0QXH7;Q8IY17-2;Q8IY17-3;Q8IY17-5;Q8IY17,PLPL6-3_HUMAN;PLPL6_HUMAN,PNPLA6,Neuropathy target esterase,23,1053730,1256950,1192720,1023030,862459,929794,1974450,1752250,1768580,1621460,1639800,1653090
Q8IY18,Q8IY18,SMC5_HUMAN,SMC5,Structural maintenance of chromosomes protein 5,5,524895,515095,563387,480252,517409,549470,522054,505543,454526,550805,511444,551118
Q8IY26,Q8IY26,PLPP6_HUMAN,PLPP6,Phospholipid phosphatase 6,3,997956,732209,688821,547602,642095,418105,339011,474302,331202,369867,450027,593373
Q8IY31;Q8IY31-2;Q8IY31-3;Q8IY31-4,A0A087X2B4;J3QR43;J3QRC6;J3QRH2;Q8IY31-2;Q8IY31-3;Q8IY31-4;Q8IY31,IFT20-2_HUMAN;IFT20-3_HUMAN;IFT20-4_HUMAN;IFT20_HUMAN,IFT20,Intraflagellar transport protein 20 homolog,1,,,,,,219691,,287125,,280885,,
Q8IY37,F5H3Y4;Q8IY37,DHX37_HUMAN,DHX37,Probable ATP-dependent RNA helicase DHX37,34,1964460,2098640,2059640,1951140,1879630,1946680,2112100,2165400,2177770,2435620,2407900,2421870
Q8IY63;Q8IY63-2,Q8IY63-2;Q8IY63,AMOL1-2_HUMAN;AMOL1_HUMAN,AMOTL1,Angiomotin-like protein 1,4,342902,358585,343069,358132,360413,369111,,302293,,,,251559
Q8IY67-2,A0A087WZ13;E9PAU2;Q8IY67-2;Q8IY67,RAVR1-2_HUMAN,RAVER1,"Isoform of Q8IY67, Isoform 2 of Ribonucleoprotein PTB-binding 1",17,1469760,1447450,1443960,2398800,2371440,2342620,1868340,1834800,1702910,3258070,3169550,3233100
Q8IY81,Q8IY81,SPB1_HUMAN,FTSJ3,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3,30,3388630,3477600,3461540,3375630,3403700,3424900,3122010,3515070,3605470,3659460,3618970,3715510
Q8IY95;Q8IY95-2,Q8IY95-2;Q8IY95,TM192-2_HUMAN;TM192_HUMAN,TMEM192,Transmembrane protein 192,2,879256,976912,889388,996591,943627,672717,629438,885254,882810,924728,946245,994157
Q8IYB1,Q8IYB1,M21D2_HUMAN,MB21D2,Protein MB21D2,2,,,,278181,,193852,153886,135799,116455,167593,174327,160501
Q8IYB3,A9Z1X7;E9PCT1;M0R088;Q8IYB3-2;Q8IYB3,SRRM1_HUMAN,SRRM1,Serine/arginine repetitive matrix protein 1,32,7562060,7527080,7583710,13489900,13471000,13973300,8947530,9789960,9745350,19235800,17915500,18955800
Q8IYB5;Q8IYB5-2;Q8IYB5-3,A0A087X1X9;Q8IYB5-2;Q8IYB5-3;Q8IYB5,SMAP1-2_HUMAN;SMAP1-3_HUMAN;SMAP1_HUMAN,SMAP1,Stromal membrane-associated protein 1,2,,974588,,1189170,1021920,1066190,703689,1049790,805590,,,761683
Q8IYB7,H7C440;Q8IYB7-2;Q8IYB7-3;Q8IYB7,DI3L2_HUMAN,DIS3L2,DIS3-like exonuclease 2,2,,272825,147489,192506,176606,,,255317,,112169,,
Q8IYB8,Q8IYB8,SUV3_HUMAN,SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",21,2383500,2321750,2281500,2249930,2399910,2452720,2373330,2282420,2448760,2666380,2722080,2656140
Q8IYD1,Q8IYD1,ERF3B_HUMAN,GSPT2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,4,906162,933149,721296,1051740,1020910,1011170,833345,796886,798769,520438,539391,625819
Q8IYI6,Q8IYI6,EXOC8_HUMAN,EXOC8,Exocyst complex component 8,5,416523,333551,388830,417533,360655,362436,539318,430692,295102,351576,283699,299330
Q8IYK4,A0A3B3IT37;Q8IYK4,GT252_HUMAN,COLGALT2,Procollagen galactosyltransferase 2,5,4751400,4646010,4557860,5307580,5077820,4853560,3010240,2946020,3214350,2010600,1941290,1949570
Q8IYL3,Q8IYL3,CA174_HUMAN,C1orf174,UPF0688 protein C1orf174,2,160371,210255,183730,223497,164746,206052,183454,149109,190226,254443,183938,234762
Q8IYQ7,Q8IYQ7,THNS1_HUMAN,THNSL1,Threonine synthase-like 1,10,1039890,1029490,969594,1025860,1096530,1071050,591629,770499,810277,844080,752318,820281
Q8IYS0;Q8IYS0-2,C9J7B8;E9PHT3;Q8IYS0-2;Q8IYS0,ASTRC-2_HUMAN;ASTRC_HUMAN,GRAMD1C,Protein Aster-C,1,,,845210,,,880970,525256,,582892,489464,625517,593132
Q8IYS2-2,Q8IYS2-2;Q8IYS2,K2013-2_HUMAN,KIAA2013,"Isoform of Q8IYS2, Isoform 2 of Uncharacterized protein KIAA2013",9,929166,947195,969154,719706,674565,481705,1093460,1181120,1114350,1084620,1004770,1011540
Q8IYT4;Q8IYT4-2,K7EIJ8;K7EM02;K7EPQ6;Q8IYT4-2;Q8IYT4,KATL2-2_HUMAN;KATL2_HUMAN,KATNAL2,Katanin p60 ATPase-containing subunit A-like 2,2,,1639450,,1529680,,1757850,1283830,,1543660,,1377170,942383
Q8IYU8,Q8IYU8,MICU2_HUMAN,MICU2,"Calcium uptake protein 2, mitochondrial",2,406365,326505,332778,281295,351963,519745,512418,420111,526564,377558,542821,541470
Q8IZ21;Q8IZ21-2;Q8IZ21-3,Q8IZ21-2;Q8IZ21-3;Q8IZ21,PHAR4-2_HUMAN;PHAR4-3_HUMAN;PHAR4_HUMAN,PHACTR4,Phosphatase and actin regulator 4,7,304386,503934,463674,423034,537259,498044,490182,527663,504656,488053,565185,499813
Q8IZ40,Q8IZ40,RCOR2_HUMAN,RCOR2,REST corepressor 2,12,1229750,1406490,1361190,1727120,1775560,1967760,1292970,1556550,1391860,1886210,1871580,2021710
Q8IZ52,F8W6H2;Q8IZ52,CHSS2_HUMAN,CHPF,Chondroitin sulfate synthase 2,8,1505720,1477560,1401560,1034770,1053780,1168210,1297800,1522520,1553030,1215580,1481190,1286420
Q8IZ69;Q8IZ69-2,F2Z2W7;Q8IZ69-2;Q8IZ69,TRM2A-2_HUMAN;TRM2A_HUMAN,TRMT2A,tRNA (uracil-5-)-methyltransferase homolog A,1,,,,214006,228458,304053,,,,360401,339644,353790
Q8IZ73,Q8IZ73-2;Q8IZ73,RUSD2_HUMAN,RPUSD2,RNA pseudouridylate synthase domain-containing protein 2,6,437512,462752,498313,465227,569565,550280,360684,404243,457063,322305,337634,364382
Q8IZ81,D6RBS5;D6RHX2;Q8IZ81,ELMD2_HUMAN,ELMOD2,ELMO domain-containing protein 2,7,2281420,2119860,2242360,1942850,1961150,1848750,1753640,1802620,1716490,1618730,1604030,1682230
Q8IZ83;Q8IZ83-3,F5H4B6;Q8IZ83-3;Q8IZ83,A16A1-3_HUMAN;A16A1_HUMAN,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,14,1279030,1382750,1444910,1412980,1381080,1269440,1123160,976779,1024660,821281,1128960,851549
Q8IZA0;Q8IZA0-2,B1AN15;E7EN73;Q8IZA0-2;Q8IZA0,K319L-2_HUMAN;K319L_HUMAN,KIAA0319L,Dyslexia-associated protein KIAA0319-like protein,4,1422660,1481970,1296330,1273980,1288150,1237360,1512130,1433300,1270190,1197720,1218700,1139590
Q8IZD4,F5GZK9;Q8IZD4-2;Q8IZD4,DCP1B_HUMAN,DCP1B,mRNA-decapping enzyme 1B,3,,284148,297331,281832,479775,310849,149540,319783,308348,322684,298048,343799
Q8IZL8,C9JFV4;E7EV54;Q8IZL8,PELP1_HUMAN,PELP1,"Proline-, glutamic acid- and leucine-rich protein 1",30,2601770,2781340,2570380,2872860,3000020,3080140,2668360,3246540,3226850,3580210,3473720,3620690
Q8IZP0;Q8IZP0-10;Q8IZP0-12;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9,A0A0A0MRT6;A0A0C4DG21;B6VEX4;B7Z836;E7EP65;E7EW77;E9PEZ7;F8WAL6;H0Y6B5;Q8IZP0-10;Q8IZP0-11;Q8IZP0-12;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9;Q9NYB9-2;Q9NYB9-3;Q9NYB9-4;Q8IZP0;Q9NYB9,ABI1-10_HUMAN;ABI1-12_HUMAN;ABI1-2_HUMAN;ABI1-3_HUMAN;ABI1-4_HUMAN;ABI1-5_HUMAN;ABI1-6_HUMAN;ABI1-7_HUMAN;ABI1-8_HUMAN;ABI1-9_HUMAN;ABI1_HUMAN,ABI1,Abl interactor 1,5,1272190,1085510,1187500,1037390,1014700,962782,1242810,1100710,1141680,1052450,1186430,1026570
Q8IZP9;Q8IZP9-2;Q8IZP9-3;Q8IZP9-4;Q8IZP9-5;Q8IZP9-6;Q8IZP9-7;Q8IZP9-8;Q8IZP9-9,Q8IZP9-2;Q8IZP9-3;Q8IZP9-4;Q8IZP9-5;Q8IZP9-6;Q8IZP9-7;Q8IZP9-8;Q8IZP9-9;Q8IZP9,AGRG2-2_HUMAN;AGRG2-3_HUMAN;AGRG2-4_HUMAN;AGRG2-5_HUMAN;AGRG2-6_HUMAN;AGRG2-7_HUMAN;AGRG2-8_HUMAN;AGRG2-9_HUMAN;AGRG2_HUMAN,ADGRG2,Adhesion G-protein coupled receptor G2,2,155167,177906,273114,227160,195669,172595,374807,642210,469762,402461,407308,422619
Q8IZQ5,A0A087WYP2;H0YE28;Q8IZQ5,SELH_HUMAN,SELENOH,Selenoprotein H,6,2994160,3307960,3114320,3539680,3984950,3882640,3141630,2635170,2641570,3530580,3517080,3441760
Q8IZR5;Q8IZR5-2;Q8IZR5-3,J3QRP2;Q8IZR5-2;Q8IZR5-3;Q8IZR5,CKLF4-2_HUMAN;CKLF4-3_HUMAN;CKLF4_HUMAN,CMTM4,CKLF-like MARVEL transmembrane domain-containing protein 4,2,349963,461029,370083,295025,310393,285627,231006,335559,308026,263795,234485,214806
Q8IZT6,Q5VYL4;Q8IZT6-2;Q8IZT6,ASPM_HUMAN,ASPM,Abnormal spindle-like microcephaly-associated protein,2,400013,,609407,,,619207,,,,,1575610,
Q8IZU2;Q8IZU2-2,E7ESC9;H0YAG1;Q8IZU2-2;Q8IZU2,WDR17-2_HUMAN;WDR17_HUMAN,WDR17,WD repeat-containing protein 17,1,9352770,9648300,10155800,9632510,11917900,11270300,17907200,14230900,15081100,12634200,14345700,13282700
Q8IZV5,Q8IZV5,RDH10_HUMAN,RDH10,Retinol dehydrogenase 10,2,288078,305540,236664,243727,184009,260265,191621,335910,323186,329956,326686,337005
Q8N0T1,Q8N0T1,RBIS_HUMAN,RBIS,Ribosomal biogenesis factor,2,404606,324244,356158,380215,440446,409955,154614,187126,,1033860,208166,195311
Q8N0U8,A0A3B3ISV4;Q8N0U8-2;Q8N0U8,VKORL_HUMAN,VKORC1L1,Vitamin K epoxide reductase complex subunit 1-like protein 1,5,1757200,1715090,1845170,1513210,1500870,1180370,1499110,1841900,1795850,1656670,1613270,1730860
Q8N0V3,Q8N0V3-2;Q8N0V3,RBFA_HUMAN,RBFA,"Putative ribosome-binding factor A, mitochondrial",3,463152,531531,570590,488824,425849,255626,231573,656339,436193,617927,239346,380331
Q8N0V5-2,A0A1W2PRW1;Q8N0V5-2;Q8N0V5-3;Q8N0V5,GNT2A-2_HUMAN,GCNT2,"Isoform of Q8N0V5, Isoform B of N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase",2,510904,631721,497663,533192,524400,912513,522170,618005,632433,740351,545882,566260
Q8N0V5-3,Q8N0V5-3,GNT2A-3_HUMAN,GCNT2,"Isoform of Q8N0V5, Isoform C of N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase",3,169308,283515,271053,138613,,193892,336707,377110,294458,281159,374888,334115
Q8N0W4;Q8N0W4-2,A0A0A0MTH0;A6NMU8;B4DHI3;Q8N0W4-2;Q8NFZ3-2;Q8N0W4;Q8NFZ3,NLGNX-2_HUMAN;NLGNX_HUMAN,NLGN4X,"Neuroligin-4, X-linked",12,5460280,5118830,5219750,3344690,3622880,3206410,2965600,3383210,3455820,2114570,2212520,2109160
Q8N0X4;Q8N0X4-2,Q5JVB9;Q5JVC0;Q8N0X4-2;Q8N0X4,CLYBL-2_HUMAN;CLYBL_HUMAN,CLYBL,"Citramalyl-CoA lyase, mitochondrial",2,244101,161098,174813,198207,232056,257573,77020.5,218870,316039,146337,,173555
Q8N0X7,Q8N0X7,SPART_HUMAN,SPART,Spartin,11,699861,786869,739314,646542,760787,779557,1207020,1803520,1848830,1240000,1259700,1279510
Q8N0Y2;Q8N0Y2-2,Q8N0Y2-2;Q8N0Y2,ZN444-2_HUMAN;ZN444_HUMAN,ZNF444,Zinc finger protein 444,1,221018,167575,143415,219896,128371,258048,243900,210417,218008,145068,175469,109731
Q8N0Z6,Q8N0Z6,TTC5_HUMAN,TTC5,Tetratricopeptide repeat protein 5,2,220774,299611,279720,360695,311975,336614,,276732,234317,258032,,274330
Q8N0Z9;Q8N0Z9-2,Q8N0Z9-2;Q8N0Z9,VSI10-2_HUMAN;VSI10_HUMAN,VSIG10,V-set and immunoglobulin domain-containing protein 10,2,789115,900428,786369,919843,988473,1054930,850827,1313600,1383740,1145640,1177350,1186500
Q8N108;Q8N108-12;Q8N108-13;Q8N108-17,Q8N108-12;Q8N108-13;Q8N108-14;Q8N108-15;Q8N108-16;Q8N108-17;Q8N108-18;Q8N108-19;Q8N108,MIER1-12_HUMAN;MIER1-13_HUMAN;MIER1-17_HUMAN;MIER1_HUMAN,MIER1,Mesoderm induction early response protein 1,2,656689,708404,622878,656532,661685,661680,425745,595141,533344,532003,502565,577583
Q8N111,Q8N111,CEND_HUMAN,CEND1,Cell cycle exit and neuronal differentiation protein 1,3,289280,293830,282218,235058,254905,261104,384725,499173,427132,386986,315775,358817
Q8N122;Q8N122-3,Q8N122-3;Q8N122,RPTOR-3_HUMAN;RPTOR_HUMAN,RPTOR,Regulatory-associated protein of mTOR,1,195081,215911,179385,140360,134771,150390,132239,,207524,80260.9,,144224
Q8N128;Q8N128-2,G3V583;Q8N128-2;Q8N128,F177A-2_HUMAN;F177A_HUMAN,FAM177A1,Protein FAM177A1,5,845302,850345,824350,795245,783419,840808,1046050,906038,856009,748003,763181,862094
Q8N129,A0A0J9YYJ0;Q8N129,CNPY4_HUMAN,CNPY4,Protein canopy homolog 4,4,1679150,2068860,1824620,2061820,1760060,1775180,2199010,2659810,2510580,2312040,2163740,2304790
Q8N131;Q8N131-2,E9PKT4;Q8N131-2;Q8N131,PORIM-2_HUMAN;PORIM_HUMAN,TMEM123,Porimin,1,1013910,979142,1154910,884044,,487715,997849,1254920,1191710,1161770,980046,1132070
Q8N138;Q8N138-4,J3KTF9;J3QRM9;Q8N138-4;Q8N138,ORML3-4_HUMAN;ORML3_HUMAN,ORMDL3,ORM1-like protein 3,3,1701320,1535360,1674000,1313930,1330270,1139600,1617900,1645350,1691910,1459030,1520430,1428810
Q8N163,A0A087X2B6;G3V119;H0YB24;Q8N163-2;Q8N163,CCAR2_HUMAN,CCAR2,Cell cycle and apoptosis regulator protein 2,31,6974260,6773740,7004990,8633490,8563980,8211560,6730400,7884350,7776170,9984340,9470410,9975110
Q8N183,D6RA56;H0YA50;Q8N183,NDUF2_HUMAN,NDUFAF2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,12,2209910,2168950,2296020,2510380,2555990,2601350,2711000,3099980,3057330,2745050,2513000,2533270
Q8N1B3;Q8N1B3-2,H7C3N1;K7EM37;Q8N1B3-2;Q8N1B3,CCNQ-2_HUMAN;CCNQ_HUMAN,CCNQ,Cyclin-Q,5,774335,768063,847707,960777,1025390,1011550,1093690,868436,882497,1048870,1083770,1056620
Q8N1B4;Q8N1B4-2,A0A0G2JIG2;Q8N1B4-2;Q8N1B4,VPS52-2_HUMAN;VPS52_HUMAN,VPS52,Vacuolar protein sorting-associated protein 52 homolog,2,437794,289397,396649,400735,378734,361364,,422926,381044,313143,,247298
Q8N1F7,H3BVE2;H3BVG0;Q8N1F7-2;Q8N1F7,NUP93_HUMAN,NUP93,Nuclear pore complex protein Nup93,45,8821890,8874120,8968360,7623500,7697050,7357650,8522590,8863140,8787250,8054200,7837690,7898940
Q8N1F8,M0QYE5;Q8N1F8,S11IP_HUMAN,STK11IP,Serine/threonine-protein kinase 11-interacting protein,7,385535,382682,365433,384160,389869,391111,415167,393436,429063,359120,372445,313594
Q8N1G0,F8WCX2;Q8N1G0-2;Q8N1G0,ZN687_HUMAN,ZNF687,Zinc finger protein 687,14,1607960,1575400,1521310,1564310,1525930,1500570,1413700,1684620,1610140,1421940,1472020,1410850
Q8N1G2,H0Y4T0;Q8N1G2,CMTR1_HUMAN,CMTR1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,9,494161,667999,754351,735620,729468,762426,532182,588719,590815,669951,526841,511244
Q8N1G4,Q8N1G4,LRC47_HUMAN,LRRC47,Leucine-rich repeat-containing protein 47,26,4603580,4634910,4767030,4917800,4955270,5006390,3638490,3336030,3402080,2836430,2777800,2764440
Q8N1N4,Q8N1N4-2;Q8N1N4,K2C78_HUMAN,KRT78,"Keratin, type II cytoskeletal 78",20,513825,,,879247,197520,,102375,434597,,360226,4798670,765115
Q8N1S5;Q8N1S5-2,J3KTP1;J3QLB2;Q8N1S5-2;Q8N1S5,S39AB-2_HUMAN;S39AB_HUMAN,SLC39A11,Zinc transporter ZIP11,2,639271,559691,582954,358584,378330,411987,856467,648778,589961,497686,551081,461161
Q8N201,Q8N201,INT1_HUMAN,INTS1,Integrator complex subunit 1,14,575988,515752,534748,564767,538904,530224,678172,484381,467084,587235,550768,566694
Q8N257,Q5QNW6-2;U3KQK0;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880,H2B3B_HUMAN,HIST3H2BB,Histone H2B type 3-B,10,624038000,719883000,721965000,659535000,641296000,698836000,1006460000,862007000,883074000,830842000,765284000,795966000
Q8N2F6;Q8N2F6-3,A0A0J9YWR7;A0A0J9YXE4;H7C2M7;Q8N2F6-2;Q8N2F6-3;Q8N2F6-4;Q8N2F6-5;Q8N2F6-6;Q8N2F6,ARM10-3_HUMAN;ARM10_HUMAN,ARMC10,Armadillo repeat-containing protein 10,7,1206070,1167170,1044310,1289670,1226880,1234110,1148370,1232980,1275820,1283110,1217880,1261590
Q8N2G8;Q8N2G8-3,K7ESN3;Q8N2G8-2;Q8N2G8-3;Q8N2G8,GHDC-3_HUMAN;GHDC_HUMAN,GHDC,GH3 domain-containing protein,3,387932,384656,435805,376894,398251,361190,642468,504792,602610,544108,480123,546004
Q8N2H4,E7ETM6;Q8N2H4,SYS1_HUMAN,SYS1,Protein SYS1 homolog,1,677466,714712,660176,483404,554498,473222,725075,648216,621325,635088,612392,532540
Q8N2K0,Q5T712;Q8N2K0-2;Q8N2K0-3;Q8N2K0,ABD12_HUMAN,ABHD12,Lysophosphatidylserine lipase ABHD12,9,1855860,1825130,1763760,1456370,1439640,1552660,1308300,1304730,1278020,1126420,1211020,1108550
Q8N2K1;Q8N2K1-2;Q8N2K1-3,A6NGS0;B1AMF0;D6RD90;Q8N2K1-2;Q8N2K1-3;Q8N2K1,UB2J2-2_HUMAN;UB2J2-3_HUMAN;UB2J2_HUMAN,UBE2J2,Ubiquitin-conjugating enzyme E2 J2,2,,,444600,532076,592242,477941,924336,609532,662089,632455,497524,652851
Q8N2M8,A0A0A0MQS2;F5H0Q6;Q8N2M8-3;Q8N2M8-4;Q8N2M8,CLASR_HUMAN,CLASRP,CLK4-associating serine/arginine rich protein,6,826375,796705,927740,1277660,1357610,1321600,907269,972530,1110690,1228780,1187410,1223690
Q8N2N9;Q8N2N9-2;Q8N2N9-3,A0A087X1R3;Q8N2N9-2;Q8N2N9-3;Q8N2N9,AN36B-2_HUMAN;AN36B-3_HUMAN;AN36B_HUMAN,ANKRD36B,Ankyrin repeat domain-containing protein 36B,2,612675,515321,552009,1520000,767591,1182350,,1083000,1515320,889005,866521,
Q8N2U0,K7ENI6;K7ERE1;Q8N2U0,TM256_HUMAN,TMEM256,Transmembrane protein 256,1,2486440,2126840,2005530,5138920,3709510,3991660,3089660,2969060,4071190,4348310,4653180,
Q8N2W9,Q8N2W9,PIAS4_HUMAN,PIAS4,E3 SUMO-protein ligase PIAS4,3,1097670,939174,1075500,1778750,1031070,2806880,1238530,1383090,1360680,1599150,1820060,1214480
Q8N357,F8WCT7;Q8N357,S35F6_HUMAN,SLC35F6,Solute carrier family 35 member F6,3,632882,564627,543311,557180,483784,484236,640809,709928,692102,652264,653802,587701
Q8N3C0,Q8N3C0,ASCC3_HUMAN,ASCC3,Activating signal cointegrator 1 complex subunit 3,4,685039,581091,647926,761398,637402,522961,780034,582256,558569,414421,914597,488042
Q8N3R9,Q8N3R9-2;Q8N3R9,MPP5_HUMAN,MPP5,MAGUK p55 subfamily member 5,16,688628,675138,625581,571626,552105,593756,840105,774066,825264,768126,763143,760228
Q8N3U4;Q8N3U4-2,Q8N3U4-2;Q8WVM7-2;Q8N3U4;Q8WVM7,STAG2-2_HUMAN;STAG2_HUMAN,STAG2,Cohesin subunit SA-2,31,1329910,1436840,1386610,1406880,1304050,1308440,1333860,1380440,1319370,1275860,1390470,1326660
Q8N3X1;Q8N3X1-2,Q8N3X1-2;Q8N3X1,FNBP4-2_HUMAN;FNBP4_HUMAN,FNBP4,Formin-binding protein 4,4,431294,262706,433485,614400,552738,535371,508919,613654,516446,725714,636175,671649
Q8N3Y3,E9PIZ2;Q8N3Y3,LARG2_HUMAN,LARGE2,LARGE xylosyl- and glucuronyltransferase 2,2,428271,358228,420916,422098,348098,368059,637401,346993,339237,362463,252237,421905
Q8N3Z3,A0A087WUP3;F8WBY6;Q8N3Z3-2;Q8N3Z3-3;Q8N3Z3,GTPB8_HUMAN,GTPBP8,GTP-binding protein 8,4,1229930,1112000,1289520,1215530,1441080,1519560,1387900,1317040,1329640,1370910,1261190,1366040
Q8N414,Q8N414-2;Q8N414,PGBD5_HUMAN,PGBD5,PiggyBac transposable element-derived protein 5,1,1477000,1388740,1868210,1689820,1527380,1581870,,1253740,1377580,1265190,1091030,1051990
Q8N442,Q8N442,GUF1_HUMAN,GUF1,"Translation factor GUF1, mitochondrial",19,1462830,1336030,1328620,1279690,1280040,1079130,1343710,1431180,1472070,1460200,1445360,1408430
Q8N474,Q6ZSL4;Q8N474,SFRP1_HUMAN,SFRP1,Secreted frizzled-related protein 1,5,882826,826086,726041,782163,771706,712214,,,,,,
Q8N488,Q8N488,RYBP_HUMAN,RYBP,RING1 and YY1-binding protein,2,428798,382160,258338,365556,374521,418960,285373,329477,311698,402424,440511,483798
Q8N490-2,Q8N490-2,PNKD-2_HUMAN,PNKD,"Isoform of Q8N490, Isoform 2 of Probable hydrolase PNKD",3,1023450,920187,878763,925463,945594,1205670,668077,876465,849345,981161,770280,967736
Q8N4H5,Q8N4H5,TOM5_HUMAN,TOMM5,Mitochondrial import receptor subunit TOM5 homolog,4,1928160,1044220,1242870,432681,485820,395284,590250,675964,687006,546556,395660,465970
Q8N4J0,Q5T8U9;Q8N4J0,CARME_HUMAN,CARNMT1,Carnosine N-methyltransferase,2,440758,393035,316047,538602,538357,643605,365092,296613,417126,405028,568618,470665
Q8N4L2,Q8N4L2,PP4P2_HUMAN,PIP4P2,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",5,1591700,1209160,1670580,1044390,1044820,989576,483782,730398,520013,460219,456938,486867
Q8N4N8,Q8N4N8,KIF2B_HUMAN,KIF2B,Kinesin-like protein KIF2B,1,,,,,,,410346,425709,439922,415863,,
Q8N4Q0,Q8N4Q0,PTGR3_HUMAN,ZADH2,Prostaglandin reductase 3,3,546602,507936,474979,479436,603651,579342,,335289,203818,214203,327363,300129
Q8N4Q1;Q8N4Q1-2,Q8N4Q1-2;Q8N4Q1,MIA40-2_HUMAN;MIA40_HUMAN,CHCHD4,Mitochondrial intermembrane space import and assembly protein 40,4,1413870,1306060,1202370,1197500,1046740,967258,707669,1364880,1343590,1441230,1145320,1345800
Q8N4S9;Q8N4S9-3,A0A0G2JN00;A0A0G2JN23;A0A0G2JQ38;A1BQX2;D6RA09;D6RAH8;Q8N4S9-2;Q8N4S9-3;Q8N4S9,MALD2-3_HUMAN;MALD2_HUMAN,MARVELD2,MARVEL domain-containing protein 2,2,296177,318348,275670,,345392,351631,143340,322113,323398,194305,,297962
Q8N4T8,Q8N4T8,CBR4_HUMAN,CBR4,Carbonyl reductase family member 4,3,490539,424517,432480,645208,615023,670272,553710,730916,752023,799276,930305,727227
Q8N4V1,Q8N4V1-2;Q8N4V1,MMGT1_HUMAN,MMGT1,Membrane magnesium transporter 1,4,817245,1079640,1126680,782654,883875,632907,572222,1024170,1119860,921964,947859,971683
Q8N4W9,Q8N4W9-2;Q8N4W9,ZN808_HUMAN,ZNF808,Zinc finger protein 808,2,261225,,,224140,196123,179725,366084,267680,360201,300471,331434,330751
Q8N511,Q8N511,TM199_HUMAN,TMEM199,Transmembrane protein 199,6,875397,608129,683219,423796,433382,608377,545469,677492,558224,541865,610207,535199
